2023-Nov-12-22:22:52,Load phase Ended
2023-Nov-12-22:22:52,ETL Job Ended
2023-Nov-12-22:22:52,ETL Job Started
2023-Nov-12-22:22:52,Extract phase Started
2023-Nov-12-22:22:52,Extract phase Ended
2023-Nov-12-22:22:52,Transform phase Started
2023-Nov-12-22:22:52,Transform phase Ended
2023-Nov-12-22:22:52,Load phase Started
2023-Nov-12-22:22:52,Load phase Ended
2023-Nov-12-22:22:52,ETL Job Ended
2023-Nov-12-22:22:53,ETL Job Started
2023-Nov-12-22:22:53,Extract phase Started
2023-Nov-12-22:22:53,Extract phase Ended
2023-Nov-12-22:22:53,Transform phase Started
2023-Nov-12-22:22:53,Transform phase Ended
2023-Nov-12-22:22:53,Load phase Started
2023-Nov-12-22:22:53,Load phase Ended
2023-Nov-12-22:22:53,ETL Job Ended
2023-Nov-12-22:22:53,ETL Job Started
2023-Nov-12-22:22:53,Extract phase Started
2023-Nov-12-22:22:53,Extract phase Ended
2023-Nov-12-22:22:53,Transform phase Started
2023-Nov-12-22:22:53,Transform phase Ended
2023-Nov-12-22:22:53,Load phase Started
2023-Nov-12-22:22:53,Load phase Ended
2023-Nov-12-22:22:53,ETL Job Ended
2023-Nov-12-22:22:53,ETL Job Started
2023-Nov-12-22:22:53,Extract phase Started
2023-Nov-12-22:22:53,Extract phase Ended
2023-Nov-12-22:22:53,Transform phase Started
2023-Nov-12-22:22:53,Transform phase Ended
2023-Nov-12-22:22:53,Load phase Started
2023-Nov-12-22:22:53,Load phase Ended
2023-Nov-12-22:22:53,ETL Job Ended
2023-Nov-12-22:22:55,ETL Job Started
2023-Nov-12-22:22:55,Extract phase Started
2023-Nov-12-22:22:55,Extract phase Ended
2023-Nov-12-22:22:55,Transform phase Started
2023-Nov-12-22:22:55,Transform phase Ended
2023-Nov-12-22:22:55,Load phase Started
2023-Nov-12-22:22:55,Load phase Ended
2023-Nov-12-22:22:55,ETL Job Ended
2023-Nov-12-22:22:55,ETL Job Started
2023-Nov-12-22:22:55,Extract phase Started
2023-Nov-12-22:22:55,Extract phase Ended
2023-Nov-12-22:22:55,Transform phase Started
2023-Nov-12-22:22:55,Transform phase Ended
